km,price
273405,9367
285656,13868
217179,4326
238362,8694
163590,7165
117173,11508
206250,12857
295586,6895
13498,10849
205679,3661
288432,4756
176478,6085
52181,1160
146328,5706
313039,6774
28115,12023
49427,4677
3480,1773
138249,7259
299136,7215
286606,992
9862,14858
348197,11505
44523,6397
53393,1924
139614,13850
145724,13367
137306,6960
170597,6010
76807,4647
143319,1390
250431,5815
107811,13464
296265,12428
43838,12187
317831,5803
154314,11881
167802,1804
158986,12242
339646,3545
229128,879
257030,10518
270161,2425
84202,14154
112369,8785
187956,5684
55950,1007
326274,8958
300368,682
211186,9935
183643,766
346033,10388
115093,11099
113914,8220
27964,8512
53490,1854
128924,7036
103691,8582
139806,9440
214971,13564
146355,14356
83279,8718
330725,11124
273149,13118
349605,10033
154280,2164
247821,14313
73106,12838
159115,5065
170248,2089
65973,8495
336557,11166
260446,4438
41811,8704
324121,9814
218286,953
83012,9492
191614,12112
120650,12661
42458,9798
227416,9036
104907,5693
28367,5681
209100,6105
70390,11572
55719,9195
133744,5797
305232,10199
68724,3097
230146,3816
11868,7983
28383,6025
142218,4477
186086,14956
268381,3651
176217,14753
15233,13311
84310,5754
36366,7036
243357,13688
29922,4551
239131,897
39961,6921
68130,14069
116713,10251
331578,2920
89777,11369
276570,13172
222150,5179
197212,4185
311797,10687
1737,14175
82856,8024
87499,1520
270691,4572
210985,13655
169717,8232
57134,6734
97479,9398
169264,7138
118291,8563
341475,8510
172479,3204
209262,11337
86045,692
112980,4249
315062,3840
239546,1647
313095,3686
237693,7538
96757,9572
340947,13654
109420,9919
163740,951
190972,5272
303922,6543
301822,7144
303298,9096
327543,2388
284561,14149
303363,11314
28275,11450
14409,11931
280883,12357
256284,3760
245455,11453
150440,6788
92507,3393
160101,11258
188362,3769
132422,5679
326777,8534
256983,3675
105541,3386
201345,7624
104958,12367
123031,7671
348983,9582
29110,14939
177345,9330
211153,2677
289314,12454
264129,1637
269645,6386
141510,3615
150335,5041
269118,13573
216400,11272
127099,10761
45870,7654
286286,10298
27136,2030
179587,11164
348721,5501
222286,10575
59109,8198
318075,776
273852,11146
77533,723
282113,3111
192747,9649
220218,8320
197524,12147
82370,750
26499,14594
116124,5219
138384,6288
315887,13154
238897,13572
161572,10450
315569,1911
234096,2753
281339,12714
328283,2141
103657,7996
39400,7039
11261,7355
260759,3611
296163,8761
243378,1566
78268,2343
22960,9247
168461,3930
123193,14318
66964,10646
7626,7802
104301,12562
25255,2882
103406,3234
249291,3803
4301,1904
268027,1970
29357,3396
258872,7356
309146,14007
5646,1367
193517,9766
79735,11176
297958,10285
88825,11047
291923,7586
127481,13419
299997,1657
256717,13646
69210,10097
130188,14335
219482,5166
266997,7917
324818,1392
91726,1546
236182,5613
80980,14451
256412,3146
199890,1823
159980,11305
104260,13967
224912,12374
269775,3724
237333,5232
231808,7368
104763,7476
258393,4817
83065,7280
268685,14576
341976,14180
349173,4047
134423,7530
156263,12948
217969,8122
122762,9693
238527,2903
94574,12867
54826,9214
102041,11117
200325,13767
242401,13439
143261,13573
44070,14297
178897,14130
346464,4299
98839,4747
213367,12408
133320,11210
136499,4914
223382,3191
325100,4162
34403,5001
196299,780
17908,8172
150770,9299
85562,2656
46620,13445
30966,1517
218126,6338
68087,1002
292011,9378
268271,13641
328842,13181
103568,1083
319356,6008
330723,3567
91411,13591
335656,3394
80338,7163
259062,12177
182602,3005
323462,866
342956,5576
222102,4598
278926,8459
49824,7857
66680,1308
33038,3537
204867,10576
297010,7941
152970,8134
234713,4061
1418,7819
173488,14283
294861,3318
117130,1286
70545,7765
209289,9031
91663,9952
72338,7479
191913,9873
249964,1291
268414,14329
7947,12129
103258,2693
272651,8574
175447,14202
115186,5419
348005,5772
202216,5455
15270,6572
24637,7252
301039,8292
336442,7363
279970,10359
53252,3101
219648,1026
27523,2499
272143,12784
33790,1028
320207,4150
318008,13998
80097,14733
3003,4395
138651,694
267418,11855
78912,11812
295623,12152
146246,4883
37159,12520
257988,11928
331953,14750
73542,2371
36312,2623
55095,12761
127066,3085
329216,1802
31322,1036
265352,12446
153071,12942
192915,4077
94481,6548
112597,7367
213890,9339
31948,1028
178311,12635
56144,11244
87290,9890
124553,5727
120177,1647
226821,3172
329704,12138
330750,14277
288605,13945
215290,13708
270479,11630
30215,4632
90065,6377
26905,6041
342533,14008
323434,5346
178727,5046
33252,13345
206144,7503
36309,12535
1615,14185
64300,11761
302311,2684
90375,10463
53186,1906
45946,9728
114612,9644
45682,6953
74422,13897
320084,10043
180809,9419
76553,13379
120395,4174
5637,556
270596,9578
263517,8887
139779,7814
203641,4399
181827,1794
339511,5073
305282,5112
190279,1110
19066,579
91422,1748
233106,4239
282582,13845
124313,7262
180683,6476
182577,9053
311643,7916
80824,12114
218823,7686
213471,13556
314788,6242
62939,13745
7657,3056
58423,1411
187776,580
4265,12874
222863,2323
223580,2627
277195,7228
196486,5723
194983,13400
119869,4377
247279,14209
10638,6519
28730,14142
28365,2590
285081,1009
80577,982
152989,9413
2510,4302
113918,3949
152855,11875
208775,11301
159113,1334
55128,8933
214737,10946
147251,13435
31655,5153
204386,1834
16587,9303
60907,7006
195658,6889
318331,6797
209738,10795
68885,8222
293025,11073
64420,2046
204654,11836
323581,8719
293434,2206
224382,6649
24571,10393
6671,4528
286184,10365
153230,13778
311736,12422
109939,3957
91019,11914
33128,4336
97121,14933
248111,8194
53803,13240
271280,1612
148163,8740
276859,2462
277600,14075
261126,8771
342304,12178
46611,9497
165445,4114
89109,11040
188064,1642
48032,11676
322898,7921
46081,8508
273099,1355
5926,761
143539,3960
66410,8371
344721,4773
209311,7800
259529,5029
232778,13993
201481,7395
47317,8720
43767,10875
112235,9130
325476,942
4539,6007
55195,7115
278889,8399
250454,8983
115079,8203
339112,6045
316202,5799
147743,6176
